name,games,goals_for,goals_against,average_goals_per_game,average_conceded_per_game
Crimea,5,7.0,11.0,1.4,2.2
Sápmi,29,90.0,54.0,3.1,1.86
Romani people,7,13.0,26.0,1.86,3.71
Menorca,25,56.0,32.0,2.24,1.28
Iraqi Kurdistan,27,61.0,27.0,2.26,1.0
Padania,44,120.0,33.0,2.73,0.75
Arameans Suryoye,10,16.0,12.0,1.6,1.2
Gozo,11,28.0,23.0,2.55,2.09
Two Sicilies,6,3.0,18.0,0.5,3.0
Saint Barthélemy,10,25.0,30.0,2.5,3.0
Saint Pierre and Miquelon,7,2.0,78.0,0.29,11.14
Bonaire,32,53.0,84.0,1.66,2.62
Chagos Islands,16,28.0,76.0,1.75,4.75
Raetia,26,43.0,103.0,1.65,3.96
Cilento,1,0.0,2.0,0.0,2.0
Western Sahara,5,11.0,16.0,2.2,3.2
Darfur,7,1.0,99.0,0.14,14.14
Tamil Eelam,24,58.0,60.0,2.42,2.5
South Sudan,65,42.0,117.0,0.65,1.8
Abkhazia,32,51.0,26.0,1.59,0.81
Artsakh,11,32.0,14.0,2.91,1.27
Madrid,1,1.0,2.0,1.0,2.0
Saugeais,1,1.0,1.0,1.0,1.0
Ellan Vannin,22,54.0,32.0,2.45,1.45
Somaliland,6,14.0,20.0,2.33,3.33
Franconia,3,8.0,11.0,2.67,3.67
South Ossetia,16,35.0,34.0,2.19,2.12
County of Nice,9,19.0,13.0,2.11,1.44
Seborga,1,2.0,3.0,2.0,3.0
Székely Land,27,56.0,56.0,2.07,2.07
Luhansk PR,6,9.0,12.0,1.5,2.0
Donetsk PR,6,8.0,7.0,1.33,1.17
Felvidék,12,14.0,20.0,1.17,1.67
Panjab,19,54.0,30.0,2.84,1.58
Western Armenia,16,34.0,20.0,2.12,1.25
United Koreans in Japan,12,20.0,11.0,1.67,0.92
Kárpátalja,11,25.0,13.0,2.27,1.18
Délvidék,2,4.0,3.0,2.0,1.5
Barawa,12,16.0,46.0,1.33,3.83
Ryūkyū,1,0.0,9.0,0.0,9.0
Yorkshire,7,27.0,11.0,3.86,1.57
Surrey,1,3.0,1.0,3.0,1.0
Cascadia,7,23.0,14.0,3.29,2.0
Matabeleland,8,7.0,14.0,0.88,1.75
Kabylia,6,8.0,15.0,1.33,2.5
Parishes of Jersey,3,11.0,4.0,3.67,1.33
Chameria,7,14.0,8.0,2.0,1.14
Saint Helena,8,6.0,41.0,0.75,5.12
East Timor,4,0.0,13.0,0.0,3.25
Yoruba Nation,2,1.0,2.0,0.5,1.0
Biafra,3,2.0,1.0,0.67,0.33
Mapuche,2,3.0,2.0,1.5,1.0
Maule Sur,2,2.0,0.0,1.0,0.0
Aymara,2,1.0,4.0,0.5,2.0
Elba Island,1,5.0,0.0,5.0,0.0
West Papua,1,1.0,1.0,1.0,1.0
Ticino,2,2.0,13.0,1.0,6.5
Hmong,3,6.0,10.0,2.0,3.33
